Date,Time,Host,Final,Competitor 1 ,Flask,Mb (per h),Mc (per h),Mbar,r (b-c),r (c-b),label,sel_rate,growth
Nov_05_2012,8hr,ECC4,yes,E4-13.2,7,0.07,0.50037,0.4046,-0.4291,0.4291,n,0.4291,0.07
Nov_05_2012,8hr,ECC4,yes,E4-13.2,8,-0.22,0.37447,0.2492,-0.5984,0.5984,n,0.5984,-0.22
Feb_06_2013,8hr,606,yes,A7-10.2,1,0.9,1.86129,1.5291,-0.9589,0.9589,n,0.9589,0.9
Feb_06_2013,8hr,606,yes,A7-10.2,2,0.86,1.91701,1.5431,-1.0525,1.0525,n,1.0525,0.86
Feb_06_2013,8hr,606,yes,A7-10.2,3,0.79,1.90517,1.5426,-1.1197,1.1197,n,1.1197,0.79
Feb_06_2013,8hr,606,yes,A7-10.2,4,0.63,1.84148,1.5149,-1.2086,1.2086,n,1.2086,0.63
Feb_06_2013,8hr,606,yes,A7-10.2,5,0.9,1.88187,1.5107,-0.9835,0.9835,n,0.9835,0.9
Feb_06_2013,8hr,606,yes,A7-10.2,6,0.73,1.98107,1.5764,-1.2463,1.2463,n,1.2463,0.73
Feb_06_2013,8hr,606,yes,A7-10.2,7,0.73,1.858,1.5096,-1.126,1.126,n,1.126,0.73
Feb_06_2013,8hr,606,yes,A7-10.2,8,0.85,1.95832,1.5768,-1.111,1.111,n,1.111,0.85
Feb_06_2013,8hr,ECC4,yes,A7-10.2,1,-0.11,1.31618,0.9024,-1.4256,1.4256,n,1.4256,-0.11
Feb_06_2013,8hr,ECC4,yes,A7-10.2,2,0,0.98529,0.562,-0.9858,0.9858,n,0.9858,0
Feb_06_2013,8hr,ECC4,yes,A7-10.2,3,0.02,0.98153,0.6252,-0.9662,0.9662,n,0.9662,0.02
Feb_06_2013,8hr,ECC4,yes,A7-10.2,4,-0.05,1.0942,0.71,-1.1414,1.1414,n,1.1414,-0.05
Feb_06_2013,8hr,ECC4,yes,A7-10.2,5,-0.18,1.12913,0.7755,-1.31,1.31,n,1.31,-0.18
Feb_06_2013,8hr,ECC4,yes,A7-10.2,6,-0.08,1.29272,0.8785,-1.3747,1.3747,n,1.3747,-0.08
Feb_06_2013,8hr,ECC4,yes,A7-10.2,7,-0.04,0.95354,0.6361,-0.9962,0.9962,n,0.9962,-0.04
Feb_06_2013,8hr,ECC4,yes,A7-10.2,8,-0.26,1.19698,0.8541,-1.4605,1.4605,n,1.4605,-0.26
Feb_24_2013,8hr,606,yes,D9-8.2,1,0.69,1.93422,1.5545,-1.2433,1.2433,n,1.2433,0.69
Feb_24_2013,8hr,606,yes,D9-8.2,2,0.46,1.94493,1.5133,-1.4863,1.4863,n,1.4863,0.46
Feb_24_2013,8hr,606,yes,D9-8.2,3,0.55,1.96408,1.5768,-1.4183,1.4183,n,1.4183,0.55
Feb_24_2013,8hr,606,yes,D9-8.2,4,0.6,1.82502,1.4908,-1.223,1.223,n,1.223,0.6
Feb_24_2013,8hr,606,yes,D9-8.2,5,0.49,1.86334,1.4835,-1.3736,1.3736,n,1.3736,0.49
Feb_24_2013,8hr,606,yes,D9-8.2,6,0.53,1.86131,1.522,-1.3286,1.3286,n,1.3286,0.53
Feb_24_2013,8hr,606,yes,D9-8.2,7,0.52,1.90583,1.5019,-1.3907,1.3907,n,1.3907,0.52
Feb_24_2013,8hr,606,yes,D9-8.2,8,0.62,1.81006,1.4628,-1.1862,1.1862,n,1.1862,0.62
Feb_24_2013,8hr,ECC4,yes,D9-8.2,1,-0.21,0.51367,0.2003,-0.7188,0.7188,n,0.7188,-0.21
Feb_24_2013,8hr,ECC4,yes,D9-8.2,2,-0.26,0.50253,0.1067,-0.7625,0.7625,n,0.7625,-0.26
Feb_24_2013,8hr,ECC4,yes,D9-8.2,3,-0.15,0.5516,0.1887,-0.6977,0.6977,n,0.6977,-0.15
Feb_24_2013,8hr,ECC4,yes,D9-8.2,4,-0.14,0.86622,0.5103,-1.0088,1.0088,n,1.0088,-0.14
Feb_24_2013,8hr,ECC4,yes,D9-8.2,5,-0.27,0.75141,0.3201,-1.0197,1.0197,n,1.0197,-0.27
Feb_24_2013,8hr,ECC4,yes,D9-8.2,6,-0.25,0.69509,0.3175,-0.9429,0.9429,n,0.9429,-0.25
Feb_24_2013,8hr,ECC4,yes,D9-8.2,7,-0.24,0.7463,0.3355,-0.9912,0.9912,n,0.9912,-0.24
Feb_24_2013,8hr,ECC4,yes,D9-8.2,8,-0.12,0.61161,0.2064,-0.7334,0.7334,n,0.7334,-0.12
